OBJECTID,PRO_COM,SEZ,TIPO_LOC,SEZ2011,SHAPE_AREA,SHAPE_LEN,POP_2010,ACE,mappa2,mappa2bis
48883,15146,5366,1,151460005366,17315.1203619,543.598448711,235,3,26,12.26
48886,15146,5369,1,151460005369,2234.82676234,211.43416921,49,3,2,4.55
48915,15146,5470,1,151460005470,5712.46367134,305.756602755,0,3,0,0
48919,15146,5474,1,151460005474,12174.7024286,524.332051166,164,3,24,14.72
49325,15146,5346,1,151460005346,11463.4850267,657.363234885,316,3,14,4.5
54753,15146,6076,1,151460006076,6469.52592724,330.659522649,142,3,12,8.63
48833,15146,5314,1,151460005314,22565.6783926,689.72647342,139,3,2,1.15
48859,15146,5341,1,151460005341,10963.8995296,462.728308805,182,3,11,6.59
48862,15146,5344,1,151460005344,49683.3132597,1105.98431999,364,3,37,11.86
48877,15146,5360,1,151460005360,3725.33951664,277.661598346,175,3,9,5.88
48879,15146,5362,1,151460005362,8775.78338656,413.048011377,255,3,13,5.63
48884,15146,5367,1,151460005367,6870.91738504,398.61142775,295,3,49,21.03
48908,15146,5463,1,151460005463,15522.4738778,525.592889757,176,3,18,11.76
48835,15146,5316,1,151460005316,11744.502639,484.951849858,0,3,0,0
48843,15146,5325,1,151460005325,11138.1214466,581.617345286,278,3,27,9.89
48846,15146,5328,1,151460005328,5879.42978332,336.825943004,11,3,1,6.67
48863,15146,5345,1,151460005345,11314.5511505,589.057224116,327,3,41,14.96
48865,15146,5348,1,151460005348,11679.2087438,601.853247535,377,3,46,12.53
48875,15146,5358,1,151460005358,9966.95147244,535.107819258,60,3,3,5.36
48882,15146,5365,1,151460005365,4039.40476784,300.662221024,121,3,14,11.48
48909,15146,5464,1,151460005464,9234.02146604,431.652335197,175,3,66,51.56
48911,15146,5466,1,151460005466,8144.12692432,395.121681413,55,3,7,14.29
48914,15146,5469,1,151460005469,18936.226997,596.177796299,74,3,6,10.17
48844,15146,5326,1,151460005326,19796.8734248,575.353011611,169,3,12,7.89
48851,15146,5333,1,151460005333,13680.4563034,511.323775835,75,3,4,7.84
48854,15146,5336,1,151460005336,6655.60497472,367.318983335,191,3,62,29.81
48869,15146,5352,1,151460005352,10795.3008227,421.738980972,300,3,51,18.68
48870,15146,5353,1,151460005353,5391.60930414,354.176054111,227,3,29,16.38
